t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.048607799999899726,54,10.99,240,9001,P4,0,5454,5,8,0x0000000000000000
0.5561705000000075,64,15.65,240,9001,P4,64,5454,5,8,0x0000000000000004
1.0619160000001102,70,54.63,2565,9001,P4,98,5454,5,8,0x0000000000000004
1.5668989000000693,64,82.59,2167,9001,P4,97,5454,5,8,0x0000000000000004
2.072182299999895,61,69.76,2550,9001,P4,29,5454,5,8,0x0000000000000000
2.5756670000000668,61,59.66,2782,11001,P2,39,5454,5,8,0x0000000000000000
3.07750679999981,60,49.88,2775,11001,P2,39,5454,5,8,0x0000000000000000
3.581600399999843,61,52.41,2760,11001,P2,50,5454,5,8,0x0000000000000000
4.086447700000008,61,54.62,2767,11001,P2,46,5454,5,8,0x0000000000000000
4.5902359000001525,61,55.16,2767,11001,P2,49,5454,5,8,0x0000000000000000
5.094269599999734,61,52.85,2752,9001,P4,43,5454,5,8,0x0000000000000000
5.595997599999919,56,29.22,330,9001,P4,0,5454,5,8,0x0000000000000000
6.099576699999943,55,13.90,345,9001,P4,0,5454,5,8,0x0000000000000000
6.60439499999984,55,10.69,367,9001,P4,0,5454,5,8,0x0000000000000000
7.108575299999757,71,46.53,2557,9001,P4,98,5454,5,8,0x0000000000000004
7.615432900000087,66,75.77,2422,9001,P4,99,5454,5,8,0x0000000000000004
8.120087299999796,70,81.64,2340,9001,P4,97,5454,5,8,0x0000000000000004
8.621816299999864,66,79.77,2385,9001,P4,97,5542,5,8,0x0000000000000004
9.127874799999972,70,81.63,2347,9001,P4,100,5662,5,8,0x0000000000000004
9.632074600000124,67,79.88,2332,9001,P4,100,5662,5,8,0x0000000000000004
10.136230699999942,62,66.57,2205,9001,P4,29,5662,5,8,0x0000000000000000
10.63974619999999,63,54.96,2775,11001,P2,46,5662,5,8,0x0000000000000000
11.14380089999986,62,53.49,2767,11001,P2,42,5662,5,8,0x0000000000000000
11.648111900000004,62,53.50,2767,11001,P2,40,5662,5,8,0x0000000000000000
12.151067400000102,62,53.28,2782,11001,P2,43,5662,5,8,0x0000000000000000
12.655520599999818,63,53.90,2767,11001,P2,48,5662,5,8,0x0000000000000000
13.161133699999937,63,55.95,2760,11001,P2,43,5662,5,8,0x0000000000000000
13.668539799999962,63,54.54,2767,9001,P4,51,5662,5,8,0x0000000000000000
14.18326960000013,57,34.94,225,9001,P4,0,5662,5,8,0x0000000000000000
14.685673699999825,57,12.66,202,9001,P4,0,5662,5,8,0x0000000000000000
15.188690699999825,57,11.28,225,9001,P4,0,5662,5,8,0x0000000000000000
15.689496599999984,72,46.87,2527,9001,P4,98,5662,5,8,0x0000000000000004
16.193554999999833,68,75.63,2415,9001,P4,98,5662,5,8,0x0000000000000004
16.69631840000011,72,81.76,2332,9001,P4,99,5662,5,8,0x0000000000000004
17.19931439999982,67,79.81,2370,9001,P4,100,5662,5,8,0x0000000000000004
17.71485849999999,70,80.24,2332,9001,P4,99,5662,5,8,0x0000000000000004
18.215470300000106,68,78.52,2332,9001,P4,100,5734,5,8,0x0000000000000004
18.716907699999865,72,80.45,2355,9001,P4,100,5902,5,8,0x0000000000000004
19.21966109999994,69,78.81,2317,11001,P2,98,5998,5,8,0x0000000000000004
19.72317239999984,71,81.21,2332,11001,P2,100,6102,5,8,0x0000000000000004
20.22611340000003,69,80.02,2280,11001,P2,100,6214,5,8,0x0000000000000004
20.734343199999785,71,80.23,2332,11001,P2,100,6334,5,8,0x0000000000000004
21.23514440000008,69,79.32,2310,11001,P2,100,6462,5,8,0x0000000000000004
21.739216999999826,71,80.77,2332,11001,P2,100,6462,5,8,0x0000000000000004
22.240247599999748,66,74.44,2107,11001,P2,55,6462,5,8,0x0000000000000000
22.743726300000162,66,63.16,2760,11001,P2,49,6462,5,8,0x0000000000000000
23.248982199999773,66,60.32,2760,11001,P2,60,6462,5,8,0x0000000000000000
23.755381299999954,65,61.98,2760,11001,P2,50,6462,5,8,0x0000000000000000
24.259215799999765,66,63.62,2760,11001,P2,61,6462,5,8,0x0000000000000000
24.767087100000026,66,63.69,2760,11001,P2,50,6462,5,8,0x0000000000000000
25.271100099999785,66,60.81,2752,11001,P2,54,6462,5,8,0x0000000000000000
25.776345700000093,60,43.42,847,11001,P2,0,6462,5,8,0x0000000000000000
26.2790215,59,20.95,225,11001,P2,0,6462,5,8,0x0000000000000000
26.780099699999937,59,12.59,210,11001,P2,0,6462,5,8,0x0000000000000000
27.28287109999974,73,32.08,1387,9001,P4,99,6462,5,8,0x0000000000000004
27.78903769999988,71,68.81,2542,9001,P4,99,6462,5,8,0x0000000000000004
28.302241200000026,72,82.08,2100,9001,P4,99,6462,5,8,0x0000000000000004
28.817553899999893,70,79.00,2535,9001,P4,100,6462,5,8,0x0000000000000004
29.320751599999767,71,81.21,2115,9001,P4,100,6462,5,8,0x0000000000000004
29.824466699999903,71,79.49,2467,9001,P4,100,6462,5,8,0x0000000000000004
30.339450299999953,72,80.60,2167,9001,P4,100,6462,5,8,0x0000000000000004
30.840108800000053,71,79.32,2430,9001,P4,100,6462,5,8,0x0000000000000004
31.3405029999999,72,80.50,2182,11001,P2,100,6462,5,8,0x0000000000000004
31.852307399999972,71,79.72,2385,11001,P2,100,6462,5,8,0x0000000000000004
32.35384260000001,72,80.44,2212,11001,P2,100,6462,5,8,0x0000000000000004
32.85941409999987,70,79.39,2355,11001,P2,100,6598,5,8,0x0000000000000004
33.36005369999975,72,80.34,2227,11001,P2,100,6598,5,8,0x0000000000000004
33.86163910000005,71,79.94,2347,9001,P4,97,6742,5,8,0x0000000000000004
34.37511379999978,72,80.70,2250,11001,P2,100,6894,5,8,0x0000000000000004
34.8907863999998,71,79.89,2310,11001,P2,100,7054,5,8,0x0000000000000004
35.39686449999999,72,80.23,2257,11001,P2,100,7222,5,8,0x0000000000000004
35.90167650000012,71,80.07,2310,11001,P2,100,7222,5,8,0x0000000000000004
36.40561560000015,72,80.06,2272,11001,P2,100,7398,5,8,0x0000000000000004
36.94410579999976,71,79.83,2295,11001,P2,100,7398,5,8,0x0000000000000004
37.44650599999977,72,80.30,2272,11001,P2,100,6000,5,8,0x0000000000000004
37.95083539999996,72,79.49,1972,11001,P2,100,6000,5,8,0x0000000000000004
38.453211799999735,72,80.03,2280,11001,P2,97,6200,5,8,0x0000000000000004
38.960024299999986,72,79.88,2197,11001,P2,100,6408,5,8,0x0000000000000004
39.46525169999995,72,80.06,2295,11001,P2,100,6408,5,8,0x0000000000000004
