t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.05075650000071619,50,10.68,345,9001,P4,0,5377,5,8,0x0000000000000000
0.5640645999992557,62,21.25,345,9001,P4,98,5376,5,8,0x0000000000000004
1.0745879000005516,67,60.18,2572,9001,P4,98,5376,5,8,0x0000000000000004
1.5809927000009338,62,82.02,2115,9001,P4,99,5376,5,8,0x0000000000000004
2.089615799999592,66,79.78,2580,9001,P4,97,5464,5,8,0x0000000000000004
2.5967196000001422,63,79.42,2122,9001,P4,100,5584,5,8,0x0000000000000004
3.1027616999999736,66,79.49,2520,9001,P4,100,5584,5,8,0x0000000000000004
3.610120299999835,59,78.00,2182,9001,P4,66,5585,5,8,0x0000000000000004
4.122862500000338,59,65.89,2775,11001,P2,57,5585,5,8,0x0000000000000000
4.625148700000864,59,59.16,2760,11001,P2,56,5585,5,8,0x0000000000000000
5.134578799999872,60,59.67,2760,11001,P2,57,5585,5,8,0x0000000000000000
5.642014299999573,60,59.88,2760,11001,P2,58,5584,5,8,0x0000000000000000
6.148404100000334,60,59.54,2760,11001,P2,52,5584,5,8,0x0000000000000000
6.655633599999419,59,56.90,2760,11001,P2,48,5583,5,8,0x0000000000000000
7.169574300000022,54,35.58,337,11001,P2,0,5583,5,8,0x0000000000000000
7.683407500000612,54,14.50,390,9001,P4,0,5583,5,8,0x0000000000000000
8.186204499999803,53,11.15,330,9001,P4,0,5583,5,8,0x0000000000000000
8.697172599999249,65,73.16,2355,9001,P4,98,5583,5,8,0x0000000000000004
9.201078300000518,68,81.85,2415,9001,P4,99,5583,5,8,0x0000000000000004
9.701785999999629,65,77.96,2325,9001,P4,100,5583,5,8,0x0000000000000004
10.209419000000707,68,80.52,2400,9001,P4,100,5585,5,8,0x0000000000000004
10.71787890000087,65,78.58,2295,9001,P4,100,5657,5,8,0x0000000000000004
11.219084500000463,68,81.49,2407,9001,P4,100,5737,5,8,0x0000000000000004
11.726297200000772,66,79.63,2287,9001,P4,98,5920,5,8,0x0000000000000004
12.228838999999425,69,80.30,2370,11001,P2,98,6024,5,8,0x0000000000000004
12.73510829999941,67,78.95,2287,9001,P4,100,6135,5,8,0x0000000000000004
13.241117400000803,69,81.05,2362,11001,P2,100,6255,5,8,0x0000000000000004
13.752235500000097,67,79.20,2250,11001,P2,100,6383,5,8,0x0000000000000004
14.254849499999182,69,80.26,2355,11001,P2,100,6383,5,8,0x0000000000000004
14.762621100000615,64,75.95,2152,11001,P2,66,6383,5,8,0x0000000000000000
15.264822099999947,64,69.42,2760,11001,P2,67,6383,5,8,0x0000000000000000
15.771362900000895,64,66.82,2767,11001,P2,66,6383,5,8,0x0000000000000000
16.28103270000065,64,63.74,2767,11001,P2,55,6383,5,8,0x0000000000000000
16.785041700000875,64,60.12,2767,11001,P2,55,6383,5,8,0x0000000000000000
17.292134799999985,63,57.86,2767,11001,P2,49,6383,5,8,0x0000000000000000
