t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.05280080000011367,65,56.30,2760,11001,P2,46,3452,5,8,0x0000000000000000
0.5669477999999799,73,67.36,2760,11001,P2,100,3459,5,8,0x0000000000000004
1.0752933999997367,66,68.79,2752,11001,P2,45,3459,5,8,0x0000000000000000
1.5849686000001384,66,58.03,2760,11001,P2,48,3459,5,8,0x0000000000000000
2.088606400000117,66,55.27,2715,11001,P2,47,3463,5,8,0x0000000000000000
2.591134499999953,65,55.05,2760,11001,P2,46,3463,5,8,0x0000000000000000
3.0916521999997713,66,56.08,2760,11001,P2,47,3463,5,8,0x0000000000000000
3.5995766999999432,66,55.99,2760,11001,P2,49,3463,5,8,0x0000000000000000
4.1085746999997355,66,56.18,2760,11001,P2,48,3463,5,8,0x0000000000000000
4.623435900000004,65,44.50,2752,11001,P2,22,3515,5,8,0x0000000000000000
5.134979999999814,66,49.99,2767,9001,P4,47,3556,5,8,0x0000000000000000
5.641729599999962,66,49.05,2767,11001,P2,43,3741,5,8,0x0000000000000000
6.152122899999995,66,48.24,2737,11001,P2,42,3743,5,8,0x0000000000000000
6.659255499999745,66,48.16,2767,12001,P0,34,3725,5,8,0x0000000000000000
7.1680443999998715,66,48.84,2760,12001,P0,29,3721,5,8,0x0000000000000000
7.672251299999971,67,49.78,2752,12001,P0,33,3655,5,8,0x0000000000000000
8.185548500000095,66,48.69,2737,12001,P0,22,3655,5,8,0x0000000000000000
8.689706099999967,66,41.77,2760,11001,P2,20,3534,5,8,0x0000000000000000
9.201454499999727,66,43.24,2752,11001,P2,27,3546,5,8,0x0000000000000000
9.708299899999929,65,41.40,2745,11001,P2,24,3548,5,8,0x0000000000000000
10.215248599999995,65,41.55,2775,11001,P2,24,3550,5,8,0x0000000000000000
10.721485499999744,65,41.67,2775,11001,P2,22,3537,5,8,0x0000000000000000
11.223217199999908,65,42.63,2745,12001,P0,22,3534,5,8,0x0000000000000000
