t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.06814199998916592,61,55.72,1447,12001,P0,6,5880,5,8,0x0000000000000000
0.5782335999974748,73,56.22,1447,12001,P0,99,5880,5,8,0x0000000000000004
1.0867126999946777,68,79.76,2032,11001,P2,100,5880,5,8,0x0000000000000004
1.5903596999996807,72,80.29,2437,11001,P2,100,5880,5,8,0x0000000000000004
2.091988799991668,69,77.92,2137,11001,P2,100,5880,5,8,0x0000000000000004
2.5940570999955526,71,81.63,2415,11001,P2,100,5880,5,8,0x0000000000000004
3.098458499996923,69,78.45,2182,9001,P4,100,5880,5,8,0x0000000000000004
3.6045999999914784,72,80.41,2437,9001,P4,99,5880,5,8,0x0000000000000004
4.106572799995774,70,79.83,2197,11001,P2,100,5880,5,8,0x0000000000000004
4.617409799990128,73,81.32,2400,11001,P2,100,5880,5,8,0x0000000000000004
5.120441899998696,70,79.04,2182,11001,P2,100,5880,5,8,0x0000000000000004
5.625962399994023,72,80.21,2377,11001,P2,100,5880,5,8,0x0000000000000004
6.1291512999887345,67,76.46,2257,11001,P2,57,5880,5,8,0x0000000000000000
6.639307999997982,67,68.95,2760,11001,P2,57,5880,5,8,0x0000000000000000
7.140855999998166,66,59.92,2760,11001,P2,55,5880,5,8,0x0000000000000000
7.644040499988478,67,59.18,2752,11001,P2,56,5880,5,8,0x0000000000000000
8.149988799996208,67,58.38,2760,11001,P2,59,5880,5,8,0x0000000000000000
8.653156799991848,66,58.90,2760,11001,P2,58,5880,5,8,0x0000000000000000
9.157537299994146,62,54.10,1215,11001,P2,0,5880,5,8,0x0000000000000000
9.659188199992059,60,32.47,180,11001,P2,0,5880,5,8,0x0000000000000000
10.168081600000733,60,11.85,187,9001,P4,0,5880,5,8,0x0000000000000000
10.671904299990274,63,16.34,1710,9001,P4,48,5880,5,8,0x0000000000000000
11.174899699995876,65,35.90,2775,11001,P2,54,5880,5,8,0x0000000000000000
11.683521699989797,65,56.08,2760,11001,P2,52,5880,5,8,0x0000000000000000
12.187847299996065,65,56.47,2760,11001,P2,51,5880,5,8,0x0000000000000000
12.69088379999448,66,55.47,2760,11001,P2,45,5880,5,8,0x0000000000000000
13.195360699988669,65,55.58,2752,11001,P2,48,5880,5,8,0x0000000000000000
13.697355600001174,66,55.42,2737,11001,P2,53,5890,5,8,0x0000000000000000
14.207603399991058,61,47.94,1965,11001,P2,0,5880,5,8,0x0000000000000000
14.721542599989334,60,27.20,1552,11001,P2,0,5880,5,8,0x0000000000000000
15.226559999995516,59,13.72,1552,11001,P2,0,5880,5,8,0x0000000000000000
15.736478699996951,61,16.88,2070,11001,P2,62,5880,5,8,0x0000000000000000
16.23719390000042,62,29.33,2775,11001,P2,18,5880,5,8,0x0000000000000000
16.738160199995036,63,40.87,2782,11001,P2,28,5880,5,8,0x0000000000000000
17.239420300000347,63,40.72,2790,9001,P4,27,5880,5,8,0x0000000000000000
17.741182099998696,63,40.86,2782,11001,P2,24,5880,5,8,0x0000000000000000
18.244092299995827,63,40.94,2782,11001,P2,24,5880,5,8,0x0000000000000000
18.74612999999954,64,43.49,2782,12001,P0,25,5880,5,8,0x0000000000000000
19.254947499997797,63,45.05,2775,12001,P0,22,5880,5,8,0x0000000000000000
19.755758200000855,64,45.67,2775,11001,P2,31,5880,5,8,0x0000000000000000
20.257044099998893,64,44.94,2782,12001,P0,28,5880,5,8,0x0000000000000000
20.758625499991467,64,40.83,2782,11001,P2,23,5880,5,8,0x0000000000000000
21.262039900000673,64,41.39,2782,12001,P0,25,5880,5,8,0x0000000000000000
21.76333259999228,64,41.18,2775,11001,P2,23,5880,5,8,0x0000000000000000
22.273874499995145,61,12.64,907,9001,P4,0,5880,5,8,0x0000000000000000
22.776455499988515,60,9.71,180,9001,P4,0,5880,5,8,0x0000000000000000
23.28175779999583,60,10.17,180,9001,P4,0,5880,5,8,0x0000000000000000
23.78528969999752,64,15.42,1582,9001,P4,70,5880,5,8,0x0000000000000000
24.288489399987157,66,45.07,2760,11001,P2,61,5880,5,8,0x0000000000000000
24.78982900000119,67,64.51,2752,11001,P2,68,5880,5,8,0x0000000000000000
25.292773299996043,66,63.06,2760,11001,P2,51,5880,5,8,0x0000000000000000
25.79896000000008,67,58.31,2760,11001,P2,59,5880,5,8,0x0000000000000000
26.303307800000766,66,56.00,2760,11001,P2,52,5880,5,8,0x0000000000000000
26.808717899999465,61,44.07,180,11001,P2,0,5880,5,8,0x0000000000000000
27.3186440999998,60,21.86,180,11001,P2,0,5880,5,8,0x0000000000000000
27.828975399999763,60,11.71,187,9001,P4,0,5880,5,8,0x0000000000000000
28.331581599995843,73,40.40,2557,9001,P4,100,5880,5,8,0x0000000000000004
28.83322699999553,70,74.61,2377,9001,P4,100,5880,5,8,0x0000000000000004
29.33949469999061,72,81.88,2310,9001,P4,100,5879,5,8,0x0000000000000004
29.848709999991115,71,79.67,2325,9001,P4,99,5879,5,8,0x0000000000000004
30.35422789999575,74,80.41,2325,9001,P4,100,5879,5,8,0x0000000000000004
30.860429399996065,70,78.50,2302,9001,P4,100,5879,5,8,0x0000000000000004
31.36792879999848,73,80.35,2347,9001,P4,100,5879,5,8,0x0000000000000004
31.87907219999761,70,79.80,2302,9001,P4,100,5879,5,8,0x0000000000000004
32.38201889999618,73,81.35,2325,11001,P2,100,5879,5,8,0x0000000000000004
32.892123300000094,71,79.00,2257,11001,P2,100,5879,5,8,0x0000000000000004
33.39637119999679,74,80.35,2325,11001,P2,100,5879,5,8,0x0000000000000004
33.898801799994544,67,73.95,2467,11001,P2,28,5879,5,8,0x0000000000000000
34.40915659999882,66,62.30,2760,11001,P2,33,5879,5,8,0x0000000000000000
34.91000049999275,66,50.06,2760,11001,P2,30,5879,5,8,0x0000000000000000
35.41207099999883,65,48.64,2760,12001,P0,28,5879,5,8,0x0000000000000000
35.914930999992066,65,49.09,2760,12001,P0,33,5879,5,8,0x0000000000000000
36.41912379999121,66,48.36,2775,9001,P4,38,5879,5,8,0x0000000000000000
36.923979799990775,66,47.28,2775,9001,P4,40,5879,5,8,0x0000000000000000
37.426980899996124,66,49.58,2752,11001,P2,36,5879,5,8,0x0000000000000000
37.930913299991516,63,49.03,2737,11001,P2,38,5879,5,8,0x0000000000000000
38.43862659999286,61,32.33,187,9001,P4,0,5879,5,8,0x0000000000000000
38.94310389999009,60,11.49,180,9001,P4,0,5879,5,8,0x0000000000000000
39.44834909999918,63,14.61,375,9001,P4,59,5879,5,8,0x0000000000000000
39.949923399995896,65,35.77,2767,11001,P2,51,5879,5,8,0x0000000000000000
40.451965499989456,66,58.61,2760,11001,P2,65,5879,5,8,0x0000000000000000
40.96813409999595,66,59.54,2760,11001,P2,54,5879,5,8,0x0000000000000000
41.468835599996964,66,59.25,2760,11001,P2,43,5879,5,8,0x0000000000000000
41.97369379999873,66,57.08,2760,11001,P2,44,5879,5,8,0x0000000000000000
42.47604460000002,65,53.53,2760,11001,P2,40,5879,5,8,0x0000000000000000
42.97678209999867,60,36.67,180,11001,P2,0,5879,5,8,0x0000000000000000
43.48177379999834,60,20.35,180,9001,P4,0,5879,5,8,0x0000000000000000
43.99018769999384,59,11.28,180,9001,P4,0,5879,5,8,0x0000000000000000
