t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.08249860000796616,58,20.69,1335,11001,P2,25,5887,5,8,0x0000000000000000
0.5977344999992056,61,40.84,1335,11001,P2,100,5887,5,8,0x0000000000000004
1.100203900001361,64,51.50,1672,11001,P2,100,5887,5,8,0x0000000000000004
1.6015441000054125,66,60.53,1890,11001,P2,100,5887,5,8,0x0000000000000004
2.113217500009341,70,70.03,2137,11001,P2,100,5887,5,8,0x0000000000000004
2.627246500007459,68,78.83,2280,11001,P2,100,5883,5,8,0x0000000000000004
3.1303268000046955,70,80.36,2355,11001,P2,100,5881,5,8,0x0000000000000004
3.64594770000258,68,79.21,2287,11001,P2,100,5881,5,8,0x0000000000000004
4.1619402000069385,70,80.98,2355,11001,P2,100,5886,5,8,0x0000000000000004
4.680092199996579,69,80.06,2287,11001,P2,100,5887,5,8,0x0000000000000004
5.19133430000511,71,80.19,2362,11001,P2,100,5887,5,8,0x0000000000000004
5.707199900003616,69,80.03,2295,11001,P2,100,5887,5,8,0x0000000000000004
6.207860800001072,71,80.74,2362,11001,P2,100,5887,5,8,0x0000000000000004
6.709244300000137,64,74.50,2077,11001,P2,58,5887,5,8,0x0000000000000000
7.212083500009612,60,45.69,1507,9001,P4,40,5887,5,8,0x0000000000000000
7.715662400005385,60,24.06,1477,9001,P2,39,5887,5,8,0x0000000000000000
8.21934360000887,60,19.74,1462,9001,P4,34,5887,5,8,0x0000000000000000
8.722024500006228,60,20.69,1447,9001,P4,34,5887,5,8,0x0000000000000000
9.222310299999663,59,20.70,1432,9001,P4,33,5887,5,8,0x0000000000000000
9.728158800004167,60,20.94,1462,11001,P4,32,5887,5,8,0x0000000000000000
10.231953700000304,60,23.03,1462,11001,P2,37,5886,5,8,0x0000000000000000
10.734487599998829,60,20.58,1432,9001,P4,33,5886,5,8,0x0000000000000000
11.23802180000348,60,21.17,1432,9001,P4,45,5886,5,8,0x0000000000000000
11.74145370000042,59,21.08,1455,9001,P4,32,5886,5,8,0x0000000000000000
12.245422300009523,60,20.70,1485,11001,P2,32,5886,5,8,0x0000000000000000
12.74679489999835,59,20.18,1462,9001,P4,35,5886,5,8,0x0000000000000000
13.247783800004981,60,20.51,1470,9001,P4,38,5886,5,8,0x0000000000000000
13.752028300004895,59,21.43,1470,9001,P4,38,5886,5,8,0x0000000000000000
14.253082199997152,59,12.12,1147,9001,P4,3,5886,5,8,0x0000000000000000
14.764864800003124,58,11.83,397,9001,P4,3,5886,5,8,0x0000000000000000
15.26604309999675,58,10.01,412,9001,P4,3,5886,5,8,0x0000000000000000
15.766610100006801,58,11.23,307,9001,P4,78,5886,5,8,0x0000000000000000
16.267034400007105,59,16.47,1432,9001,P4,46,5886,5,8,0x0000000000000000
16.768635300002643,59,21.91,1432,9001,P4,38,5886,5,8,0x0000000000000000
17.282483000002685,59,24.26,1440,9001,P4,52,5887,5,8,0x0000000000000000
17.782866299996385,59,24.26,1425,11001,P2,46,5887,5,8,0x0000000000000000
18.28600429999642,59,23.20,1447,11001,P2,40,5887,5,8,0x0000000000000000
18.788106499996502,59,22.15,1432,9001,P4,37,5887,5,8,0x0000000000000000
19.291740200002096,59,23.21,1440,9001,P4,44,5887,5,8,0x0000000000000000
19.794470900000306,59,22.67,1432,9001,P4,42,5887,5,8,0x0000000000000000
20.295780400003423,59,22.59,1425,11001,P2,44,5887,5,8,0x0000000000000000
20.811169900000095,59,20.14,1447,11001,P2,40,5887,5,8,0x0000000000000000
21.315588900004514,59,21.65,1440,9001,P4,44,5887,5,8,0x0000000000000000
21.81823040000745,59,23.09,1417,11001,P2,47,5887,5,8,0x0000000000000000
22.322346900007688,59,20.98,1417,11001,P2,36,5887,5,8,0x0000000000000000
22.823890200001188,59,20.17,1425,11001,P2,44,5887,5,8,0x0000000000000000
23.330144999999902,59,22.16,1425,11001,P2,41,5887,5,8,0x0000000000000000
23.83137890000944,58,12.07,405,9001,P4,3,5887,5,8,0x0000000000000000
24.333033100003377,58,11.90,412,9001,P4,3,5887,5,8,0x0000000000000000
24.834493000002112,58,11.86,412,9001,P4,3,5887,5,8,0x0000000000000000
25.335534800004098,59,16.42,1515,11001,P2,50,5887,5,8,0x0000000000000000
25.837608400004683,59,24.15,1515,11001,P2,46,5887,5,8,0x0000000000000000
26.34209990000818,59,26.43,1515,11001,P2,52,5887,5,8,0x0000000000000000
26.856050900008995,59,26.79,1515,11001,P2,51,5883,5,8,0x0000000000000000
27.358203399999184,59,27.23,1515,11001,P2,53,5883,5,8,0x0000000000000000
27.862369199996465,59,26.73,1515,9001,P4,52,5883,5,8,0x0000000000000000
28.36506160000863,58,24.00,1515,9001,P4,11,5883,5,8,0x0000000000000000
28.878727999996045,57,17.82,375,9001,P4,2,5883,5,8,0x0000000000000000
29.413161300006323,57,12.05,360,9001,P4,2,5887,5,8,0x0000000000000000
29.923783400008688,58,12.59,450,9001,P4,64,5887,5,8,0x0000000000000000
30.426082500009215,59,21.84,1515,11001,P2,71,5887,5,8,0x0000000000000000
30.92914700000256,59,33.02,1515,11001,P2,73,5887,5,8,0x0000000000000000
31.442192200003774,59,33.85,1515,11001,P2,66,5887,5,8,0x0000000000000000
31.94266329999664,59,32.53,1515,11001,P2,62,5887,5,8,0x0000000000000000
32.44429800000216,59,31.38,1515,11001,P2,49,5887,5,8,0x0000000000000000
32.94727129999956,58,29.84,1515,11001,P2,28,5887,5,8,0x0000000000000000
33.46050460000697,57,21.11,405,9001,P4,3,5887,5,8,0x0000000000000000
33.97655659999873,56,12.88,420,9001,P4,2,5887,5,8,0x0000000000000000
34.477871000010055,57,12.65,405,11001,P2,78,5887,5,8,0x0000000000000000
34.97981420000724,57,17.39,1492,9001,P4,35,5887,5,8,0x0000000000000000
35.481125799997244,57,20.82,1500,9001,P4,29,5887,5,8,0x0000000000000000
35.98625119999633,57,21.52,1492,9001,P4,37,5889,5,8,0x0000000000000000
36.49016780000238,57,20.87,1500,11001,P2,33,5887,5,8,0x0000000000000000
36.99270360000082,57,21.97,1507,11001,P2,33,5887,5,8,0x0000000000000000
37.49485940000159,57,20.25,1500,11001,P2,26,5887,5,8,0x0000000000000000
38.00917180000397,57,19.61,1500,11001,P2,29,5887,5,8,0x0000000000000000
38.52439910000248,57,19.25,1492,11001,P2,28,5887,5,8,0x0000000000000000
39.03936840000097,58,20.94,1492,11001,P2,27,5887,5,8,0x0000000000000000
39.55519120000827,58,20.52,1485,11001,P2,33,5887,5,8,0x0000000000000000
40.05585990000691,58,21.59,1500,11001,P2,32,5887,5,8,0x0000000000000000
40.55718519999937,58,21.69,1500,11001,P2,37,5887,5,8,0x0000000000000000
41.062250500006485,58,22.03,1492,11001,P2,26,5887,5,8,0x0000000000000000
41.564180700006546,58,20.18,1485,11001,P2,29,5887,5,8,0x0000000000000000
42.080048800009536,57,11.49,442,9001,P4,2,5887,5,8,0x0000000000000000
42.594773999997415,57,11.69,277,9001,P4,2,5887,5,8,0x0000000000000000
