t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.06488340000214521,57,21.35,1477,9001,P2,75,5549,5,8,0x0000000000000000
0.5716498999972828,60,41.55,1477,9001,P2,100,5549,5,8,0x0000000000000004
1.074233200008166,62,46.58,1590,11001,P2,100,5549,5,8,0x0000000000000004
1.576044900008128,65,61.22,1807,11001,P2,100,5549,5,8,0x0000000000000004
2.076931000003242,68,69.78,2047,11001,P2,100,5549,5,8,0x0000000000000004
2.577723499998683,67,78.69,2310,11001,P2,100,5549,5,8,0x0000000000000004
3.0859918000060134,69,80.53,2250,11001,P2,100,5549,5,8,0x0000000000000004
3.5874244000006,67,80.02,2385,11001,P2,100,5549,5,8,0x0000000000000004
4.097219400005997,69,80.87,2265,11001,P2,100,5549,5,8,0x0000000000000004
4.606979899996077,68,79.54,2355,11001,P2,100,5549,5,8,0x0000000000000004
5.115571700007422,69,80.25,2265,11001,P2,100,5549,5,8,0x0000000000000004
5.616142900005798,67,79.94,2340,11001,P2,100,5549,5,8,0x0000000000000004
6.121274000004632,69,80.70,2272,11001,P2,100,5549,5,8,0x0000000000000004
6.6257927999977255,62,72.72,2355,11001,P2,58,5549,5,8,0x0000000000000000
7.1345809000049485,60,49.36,1545,11001,P2,63,5549,5,8,0x0000000000000000
7.638373299996601,59,32.25,1515,11001,P2,61,5549,5,8,0x0000000000000000
8.139693300006911,58,30.17,1515,11001,P4,17,5549,5,8,0x0000000000000000
8.652589200006332,56,19.62,322,9001,P4,0,5549,5,8,0x0000000000000000
9.16097450000234,56,11.01,330,9001,P4,0,5549,5,8,0x0000000000000000
9.670142300004954,56,10.70,330,9001,P4,35,5549,5,8,0x0000000000000000
10.172107999998843,57,15.77,1492,9001,P4,26,5549,5,8,0x0000000000000000
10.67566049999732,57,20.03,1462,9001,P4,27,5549,5,8,0x0000000000000000
11.178324299995438,57,19.40,1515,9001,P4,30,5549,5,8,0x0000000000000000
11.67908709999756,56,19.14,1515,11001,P2,22,5549,5,8,0x0000000000000000
12.181424399997923,56,20.11,1515,11001,P2,22,5549,5,8,0x0000000000000000
12.683093100000406,57,21.67,1515,11001,P2,25,5549,5,8,0x0000000000000000
13.189417600005982,57,20.74,1515,11001,P2,26,5549,5,8,0x0000000000000000
13.698688999997103,55,9.16,262,9001,P4,0,5549,5,8,0x0000000000000000
14.206651600004989,55,9.34,195,9001,P4,0,5549,5,8,0x0000000000000000
14.715598399998271,55,9.55,195,9001,P4,0,5549,5,8,0x0000000000000000
15.217333299995516,56,14.77,1432,11001,P2,23,5549,5,8,0x0000000000000000
15.71868250000989,56,19.83,1515,11001,P2,25,5549,5,8,0x0000000000000000
16.220369800008484,56,19.48,1515,11001,P2,20,5549,5,8,0x0000000000000000
16.72907820000546,56,20.82,1515,11001,P2,23,5549,5,8,0x0000000000000000
17.23211569999694,56,21.26,1515,11001,P2,22,5549,5,8,0x0000000000000000
17.733729800005676,56,21.63,1515,11001,P2,28,5549,5,8,0x0000000000000000
18.23802109999815,56,21.20,1515,11001,P2,28,5549,5,8,0x0000000000000000
18.752195699998992,55,9.15,180,9001,P4,0,5549,5,8,0x0000000000000000
19.258151000001817,55,10.17,195,9001,P4,0,5549,5,8,0x0000000000000000
19.763309100002516,56,16.47,990,11001,P2,50,5549,5,8,0x0000000000000000
20.266925200005062,56,23.27,1515,11001,P2,49,5549,5,8,0x0000000000000000
20.768640000009327,56,27.89,1515,11001,P2,53,5549,5,8,0x0000000000000000
21.274487600006978,55,25.58,1515,9001,P4,0,5549,5,8,0x0000000000000000
21.782426799996756,54,17.94,315,9001,P4,0,5549,5,8,0x0000000000000000
22.28912560000026,54,10.01,315,9001,P4,0,5549,5,8,0x0000000000000000
22.796564700009185,54,10.81,315,9001,P4,36,5549,5,8,0x0000000000000000
23.29884580000362,54,14.86,1402,9001,P4,24,5549,5,8,0x0000000000000000
23.79988520000188,55,17.60,1485,9001,P4,19,5549,5,8,0x0000000000000000
24.30169890000252,55,17.84,1492,9001,P4,21,5549,5,8,0x0000000000000000
24.804326199999196,55,17.26,1492,11001,P2,15,5549,5,8,0x0000000000000000
25.306647000004887,55,18.31,1485,11001,P2,17,5549,5,8,0x0000000000000000
25.80818010000803,55,18.01,1485,11001,P2,18,5549,5,8,0x0000000000000000
26.308531000002404,55,18.12,1485,11001,P2,17,5549,5,8,0x0000000000000000
26.818417500006035,55,17.98,1485,11001,P2,21,5549,5,8,0x0000000000000000
27.321087200005422,55,17.47,1485,11001,P2,17,5549,5,8,0x0000000000000000
27.82237670000177,55,18.17,1485,11001,P2,19,5549,5,8,0x0000000000000000
28.323313300003065,55,17.96,1485,11001,P2,18,5549,5,8,0x0000000000000000
28.828278700006194,54,9.14,307,9001,P4,0,5549,5,8,0x0000000000000000
29.342187900008867,54,8.82,180,9001,P4,0,5549,5,8,0x0000000000000000
29.847309100005077,54,9.53,187,9001,P4,0,5549,5,8,0x0000000000000000
30.349906800009194,56,19.10,1350,11001,P2,66,5549,5,8,0x0000000000000000
30.85433180000109,56,27.58,1515,11001,P2,51,5549,5,8,0x0000000000000000
31.35659160000796,56,30.98,1515,11001,P2,70,5549,5,8,0x0000000000000000
31.86408539999684,54,25.90,847,11001,P2,0,5549,5,8,0x0000000000000000
32.37767529999837,54,15.74,315,9001,P4,0,5549,5,8,0x0000000000000000
32.882827800000086,53,10.89,315,9001,P4,0,5549,5,8,0x0000000000000000
33.39293329999782,54,13.32,982,11001,P2,24,5549,5,8,0x0000000000000000
