t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.08237299999746028,51,16.89,1072,9001,P4,28,5509,5,8,0x0000000000000000
0.5979256999999052,55,23.46,1072,9001,P2,100,5509,5,8,0x0000000000000004
1.1004721999925096,57,37.11,1732,11001,P2,100,5510,5,8,0x0000000000000004
1.6029443000006722,60,53.18,1957,11001,P2,100,5510,5,8,0x0000000000000004
2.118532699998468,64,71.00,2220,11001,P2,100,5516,5,8,0x0000000000000004
2.62359689999721,62,80.09,2212,11001,P2,100,5517,5,8,0x0000000000000004
3.1366435999952955,64,80.38,2422,11001,P2,100,5517,5,8,0x0000000000000004
3.636834299992188,63,79.29,2242,11001,P2,100,5517,5,8,0x0000000000000004
4.147516400000313,66,81.02,2415,11001,P2,100,5517,5,8,0x0000000000000004
4.65001040000061,64,79.42,2265,11001,P2,100,5516,5,8,0x0000000000000004
5.153705499993521,66,80.14,2392,11001,P2,100,5516,5,8,0x0000000000000004
5.666664199990919,65,80.16,2257,11001,P2,100,5516,5,8,0x0000000000000004
6.17679599999974,66,80.19,2385,11001,P2,100,5516,5,8,0x0000000000000004
6.677263199992012,58,69.43,2010,11001,P2,59,5515,5,8,0x0000000000000000
7.180408100000932,56,47.84,1515,11001,P2,59,5514,5,8,0x0000000000000000
7.6895647999917855,56,30.62,1515,11001,P2,61,5513,5,8,0x0000000000000000
8.194319799993536,55,29.37,1132,9001,P4,22,5513,5,8,0x0000000000000000
8.696932699996978,53,19.61,345,9001,P4,0,5513,5,8,0x0000000000000000
9.198494199998095,53,10.75,345,9001,P4,1,5513,5,8,0x0000000000000000
9.701427399995737,54,11.02,570,9001,P4,78,5513,5,8,0x0000000000000000
10.206087500002468,54,14.88,1222,9001,P4,36,5513,5,8,0x0000000000000000
10.708300300000701,54,19.25,1222,9001,P4,35,5509,5,8,0x0000000000000000
11.214248399992357,54,19.35,1200,9001,P4,34,5509,5,8,0x0000000000000000
11.718351399991661,54,19.43,1267,11001,P2,33,5509,5,8,0x0000000000000000
12.227030699999887,54,19.71,1267,11001,P2,32,5509,5,8,0x0000000000000000
12.727640400000382,54,19.63,1230,11001,P2,32,5509,5,8,0x0000000000000000
13.23581369999738,54,19.60,1245,11001,P2,32,5509,5,8,0x0000000000000000
13.747855900001014,53,16.40,262,9001,P4,0,5509,5,8,0x0000000000000000
14.259127799989074,52,11.64,210,9001,P4,0,5509,5,8,0x0000000000000000
14.766500199999427,52,10.21,195,9001,P4,0,5509,5,8,0x0000000000000000
15.269755399989663,53,12.71,757,9001,P4,32,5509,5,8,0x0000000000000000
15.775807600002736,53,15.70,862,9001,P4,32,5509,5,8,0x0000000000000000
16.277926599999773,53,16.24,922,9001,P4,31,5509,5,8,0x0000000000000000
16.790914299999713,53,16.04,855,9001,P4,32,5509,5,8,0x0000000000000000
17.297531999996863,53,15.91,900,9001,P4,31,5509,5,8,0x0000000000000000
17.809098899990204,53,15.90,915,9001,P4,35,5509,5,8,0x0000000000000000
18.31823269999586,53,15.86,862,9001,P4,31,5509,5,8,0x0000000000000000
18.825105899988557,53,15.93,847,9001,P4,28,5509,5,8,0x0000000000000000
19.33211139999912,53,15.93,915,9001,P4,27,5509,5,8,0x0000000000000000
19.84150559999398,53,15.93,862,9001,P4,29,5509,5,8,0x0000000000000000
20.343758399991202,53,15.97,892,9001,P4,32,5509,5,8,0x0000000000000000
20.85620329999074,52,15.84,862,9001,P4,34,5509,5,8,0x0000000000000000
21.356803599992418,52,13.66,225,9001,P4,0,5509,5,8,0x0000000000000000
21.86105520000274,52,10.42,195,9001,P4,0,5509,5,8,0x0000000000000000
22.362362300002133,52,9.09,210,9001,P4,0,5509,5,8,0x0000000000000000
22.875637799996184,53,22.12,1492,11001,P2,50,5509,5,8,0x0000000000000000
23.376160200001323,54,26.64,1492,11001,P2,48,5509,5,8,0x0000000000000000
23.8831957999937,53,26.04,1140,9001,P4,20,5509,5,8,0x0000000000000000
24.387151899994933,52,17.94,322,9001,P4,0,5509,5,8,0x0000000000000000
24.893267899999046,52,10.38,337,9001,P4,0,5509,5,8,0x0000000000000000
25.396290499993484,52,10.38,510,9001,P4,71,5509,5,8,0x0000000000000000
25.90248179998889,52,12.82,1102,9001,P4,27,5509,5,8,0x0000000000000000
26.406749299989315,52,16.11,1200,9001,P4,29,5509,5,8,0x0000000000000000
26.91470809999737,52,16.70,1200,9001,P4,28,5509,5,8,0x0000000000000000
27.415073099997244,52,17.12,1222,11001,P2,27,5509,5,8,0x0000000000000000
27.920716299995547,52,17.17,1207,11001,P2,26,5509,5,8,0x0000000000000000
28.428418900002725,52,17.20,1215,11001,P2,27,5509,5,8,0x0000000000000000
28.935891100001754,52,17.20,1222,11001,P2,29,5509,5,8,0x0000000000000000
29.444976999991923,52,17.14,1185,11001,P2,25,5509,5,8,0x0000000000000000
29.95545619999757,52,17.14,1237,11001,P2,26,5509,5,8,0x0000000000000000
30.45850100000098,52,17.20,1230,11001,P2,26,5509,5,8,0x0000000000000000
30.963085900002625,52,17.25,1207,11001,P2,26,5509,5,8,0x0000000000000000
31.465642299997853,52,17.23,1192,11001,P2,26,5509,5,8,0x0000000000000000
31.97393719998945,52,14.32,225,9001,P4,0,5509,5,8,0x0000000000000000
32.48065709999355,51,10.68,195,9001,P4,0,5509,5,8,0x0000000000000000
32.995169199988595,51,9.65,195,9001,P4,0,5509,5,8,0x0000000000000000
33.496145199998864,54,19.61,1492,11001,P2,69,5509,5,8,0x0000000000000000
33.99899100000039,54,30.62,1492,11001,P2,67,5509,5,8,0x0000000000000000
34.51116879998881,53,32.46,1147,11001,P2,29,5509,5,8,0x0000000000000000
35.01299769998877,52,22.61,337,11001,P2,0,5509,5,8,0x0000000000000000
35.51623110000219,51,12.51,322,11001,P2,0,5509,5,8,0x0000000000000000
36.031925699993735,52,12.21,502,11001,P2,65,5509,5,8,0x0000000000000000
36.53633160000027,52,14.18,847,9001,P4,27,5509,5,8,0x0000000000000000
37.050944699993124,52,15.67,862,9001,P4,28,5509,5,8,0x0000000000000000
37.55267119999917,52,15.06,825,9001,P4,26,5509,5,8,0x0000000000000000
38.06227909999143,52,14.73,907,9001,P4,28,5509,5,8,0x0000000000000000
38.571590699997614,52,14.35,930,9001,P4,30,5509,5,8,0x0000000000000000
39.07574229998863,52,14.09,862,9001,P4,25,5509,5,8,0x0000000000000000
39.58345649999683,52,14.24,885,9001,P4,28,5509,5,8,0x0000000000000000
40.092359199989005,52,14.16,832,9001,P4,29,5509,5,8,0x0000000000000000
40.599809899998945,52,14.00,810,9001,P4,29,5509,5,8,0x0000000000000000
41.11409589998948,52,13.96,840,9001,P4,24,5509,5,8,0x0000000000000000
41.61682899999141,52,14.15,877,9001,P4,28,5509,5,8,0x0000000000000000
42.125774200001615,52,14.13,862,9001,P4,29,5509,5,8,0x0000000000000000
42.63564769999357,52,13.94,825,9001,P4,27,5509,5,8,0x0000000000000000
43.146793799998704,52,14.00,832,9001,P4,27,5509,5,8,0x0000000000000000
43.66081229998963,52,13.85,765,9001,P4,25,5509,5,8,0x0000000000000000
44.16755389999889,52,13.95,847,9001,P4,29,5509,5,8,0x0000000000000000
44.68174649999128,52,13.88,825,9001,P4,27,5509,5,8,0x0000000000000000
45.186866599993664,52,13.82,795,9001,P4,27,5509,5,8,0x0000000000000000
45.693048499990255,52,13.90,832,9001,P4,28,5509,5,8,0x0000000000000000
46.1996625999891,52,13.91,802,9001,P4,26,5509,5,8,0x0000000000000000
46.702401199989254,52,13.79,735,9001,P4,25,5511,5,8,0x0000000000000000
47.213301700001466,51,12.31,232,9001,P4,0,5511,5,8,0x0000000000000000
47.71577270000125,51,9.99,187,9001,P4,0,5509,5,8,0x0000000000000000
48.22032139998919,51,9.02,202,9001,P4,0,5509,5,8,0x0000000000000000
48.73067129999981,54,16.79,1492,11001,P2,74,5509,5,8,0x0000000000000000
49.233258399995975,54,28.52,1492,11001,P2,74,5509,5,8,0x0000000000000000
49.74286569999822,53,34.00,1215,11001,P2,42,5509,5,8,0x0000000000000000
50.24710939999204,52,22.42,330,11001,P2,0,5509,5,8,0x0000000000000000
50.76289079998969,51,11.45,315,11001,P2,0,5509,5,8,0x0000000000000000
