t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.0469061000039801,57,21.15,1080,9001,P2,73,5535,5,8,0x0000000000000000
0.5518878000002587,59,23.18,1080,9001,P2,100,5535,5,8,0x0000000000000004
1.062883899998269,61,35.35,1590,11001,P2,100,5535,5,8,0x0000000000000004
1.568257299994002,64,50.89,1807,11001,P2,100,5535,5,8,0x0000000000000004
2.0724766999919666,67,65.62,2040,11001,P2,100,5535,5,8,0x0000000000000004
2.575916200003121,66,78.53,2317,11001,P2,100,5535,5,8,0x0000000000000004
3.0901112999999896,68,80.70,2250,11001,P2,100,5535,5,8,0x0000000000000004
3.594903699995484,67,79.21,2392,11001,P2,100,5535,5,8,0x0000000000000004
4.109275099996012,69,80.80,2257,11001,P2,100,5535,5,8,0x0000000000000004
4.618647099996451,68,80.00,2370,11001,P2,100,5535,5,8,0x0000000000000004
5.121237400002428,69,80.38,2272,11001,P2,100,5535,5,8,0x0000000000000004
5.621625400002813,68,79.62,2347,11001,P2,100,5535,5,8,0x0000000000000004
6.125564200003282,70,80.28,2280,11001,P2,100,5535,5,8,0x0000000000000004
6.634623699996155,64,75.08,2332,11001,P2,54,5535,5,8,0x0000000000000000
7.1407138999929884,61,53.87,1612,11001,P2,57,5535,5,8,0x0000000000000000
7.642445899997256,60,34.37,1515,11001,P2,61,5535,5,8,0x0000000000000000
8.14586259999487,60,31.28,1515,11001,P2,60,5535,5,8,0x0000000000000000
8.660248500003945,57,23.00,330,9001,P4,0,5535,5,8,0x0000000000000000
9.173932799996692,57,11.93,322,9001,P4,1,5535,5,8,0x0000000000000000
9.67984979999892,57,10.95,337,9001,P4,1,5535,5,8,0x0000000000000000
10.184330799995223,58,16.01,1290,11001,P2,32,5535,5,8,0x0000000000000000
10.690717499994207,57,21.22,1500,11001,P2,33,5535,5,8,0x0000000000000000
11.201441199998953,57,22.56,1477,11001,P2,32,5535,5,8,0x0000000000000000
11.711436700003105,57,22.35,1470,11001,P2,34,5535,5,8,0x0000000000000000
12.215034900000319,56,20.33,1462,9001,P4,0,5535,5,8,0x0000000000000000
12.727713300002506,56,14.66,232,9001,P4,1,5535,5,8,0x0000000000000000
13.230014599990682,56,10.89,210,9001,P4,1,5535,5,8,0x0000000000000000
13.742001399994479,56,12.08,277,9001,P2,28,5535,5,8,0x0000000000000000
14.250157699992997,57,17.77,1380,9001,P4,43,5535,5,8,0x0000000000000000
14.754213699998218,57,22.42,1500,9001,P2,44,5535,5,8,0x0000000000000000
15.261552399999346,57,24.25,1515,9001,P4,43,5535,5,8,0x0000000000000000
15.772089099991717,57,24.42,1515,9001,P2,42,5535,5,8,0x0000000000000000
16.275425699990592,57,24.33,1515,11001,P2,37,5535,5,8,0x0000000000000000
16.781273500004318,55,17.92,345,9001,P4,1,5535,5,8,0x0000000000000000
17.296566999997594,55,11.10,360,9001,P4,0,5535,5,8,0x0000000000000000
17.797046599996975,55,11.18,352,9001,P4,19,5535,5,8,0x0000000000000000
18.303605199995218,56,18.79,1515,11001,P2,49,5535,5,8,0x0000000000000000
18.81733499999973,56,26.24,1515,11001,P2,49,5535,5,8,0x0000000000000000
19.321728599999915,57,27.27,1515,11001,P2,49,5535,5,8,0x0000000000000000
19.825426600000355,55,23.00,1087,9001,P4,0,5535,5,8,0x0000000000000000
20.332387599992217,55,14.78,360,9001,P4,0,5535,5,8,0x0000000000000000
20.84450310000102,54,10.65,352,9001,P4,0,5535,5,8,0x0000000000000000
21.34854939999059,55,12.49,675,11001,P2,27,5535,5,8,0x0000000000000000
21.853749499990954,55,16.22,1432,9001,P4,30,5535,5,8,0x0000000000000000
22.355009699997026,55,18.96,1440,9001,P4,27,5535,5,8,0x0000000000000000
22.86117619999277,55,19.00,1440,9001,P4,28,5535,5,8,0x0000000000000000
23.368440699996427,55,19.06,1440,11001,P2,25,5535,5,8,0x0000000000000000
23.870452100003604,55,19.05,1447,11001,P2,28,5535,5,8,0x0000000000000000
24.3732708000025,55,19.22,1447,11001,P2,28,5535,5,8,0x0000000000000000
24.87706719999551,55,19.22,1447,11001,P2,28,5535,5,8,0x0000000000000000
25.393080900001223,55,18.94,1395,11001,P2,24,5535,5,8,0x0000000000000000
25.901491600001464,54,17.53,1342,11001,P4,0,5626,5,8,0x0000000000000000
26.411456899993937,54,14.58,1552,11001,P2,1,5535,5,8,0x0000000000000000
26.92671450000489,54,13.14,1552,11001,P2,0,5535,5,8,0x0000000000000000
27.42908719999832,56,17.89,1552,11001,P2,68,5535,5,8,0x0000000000000000
27.930991899993387,58,30.19,1567,11001,P2,64,5535,5,8,0x0000000000000000
28.434376000004704,56,37.81,1552,11001,P2,66,5535,5,8,0x0000000000000000
28.94992659999116,54,27.42,1552,11001,P2,0,5535,5,8,0x0000000000000000
29.462843500004965,54,18.44,1552,11001,P2,0,5535,5,8,0x0000000000000000
29.97197509999387,54,13.22,1552,11001,P2,1,5535,5,8,0x0000000000000000
30.47386440000264,54,15.72,1552,11001,P2,27,5535,5,8,0x0000000000000000
30.980980399996042,54,19.02,1552,11001,P2,29,5535,5,8,0x0000000000000000
31.49091100000078,54,19.95,1552,11001,P2,27,5535,5,8,0x0000000000000000
31.997676600003615,54,20.39,1552,11001,P2,30,5535,5,8,0x0000000000000000
32.498586899993825,54,20.59,1552,11001,P2,27,5535,5,8,0x0000000000000000
33.00466459999734,54,20.55,1462,11001,P2,30,5535,5,8,0x0000000000000000
33.51440559999901,54,20.49,1477,11001,P2,32,5535,5,8,0x0000000000000000
34.02372719999403,54,20.51,1447,11001,P2,28,5535,5,8,0x0000000000000000
34.53302619999158,53,18.14,1132,9001,P4,0,5535,5,8,0x0000000000000000
35.04591970000183,53,14.02,217,9001,P4,1,5535,5,8,0x0000000000000000
35.56216629999108,53,10.67,217,9001,P4,1,5535,5,8,0x0000000000000000
36.07183349999832,55,16.96,645,11001,P2,83,5535,5,8,0x0000000000000000
36.584848200000124,57,31.31,1845,11001,P2,71,5535,5,8,0x0000000000000000
