t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.07453369998256676,57,50.03,2662,12001,P0,21,5526,5,8,0x0000000000000000
0.581340899982024,68,96.29,2662,12001,P0,99,5526,5,8,0x0000000000000004
1.0819440000050236,62,78.92,1920,12001,P0,100,5526,5,8,0x0000000000000004
1.5891529999789782,67,80.26,2512,11001,P2,99,5526,5,8,0x0000000000000004
2.0942485999839846,63,78.21,2070,11001,P2,100,5526,5,8,0x0000000000000004
2.599775199982105,68,80.49,2482,11001,P2,100,5526,5,8,0x0000000000000004
3.09994889999507,64,78.54,2115,11001,P2,100,5526,5,8,0x0000000000000004
3.6019658999866806,68,81.56,2460,11001,P2,100,5526,5,8,0x0000000000000004
4.107558299991069,65,80.06,2160,11001,P2,100,5526,5,8,0x0000000000000004
4.615938899980392,68,81.19,2430,11001,P2,100,5526,5,8,0x0000000000000004
5.128000199998496,66,79.06,2182,11001,P2,100,5526,5,8,0x0000000000000004
5.638229299976956,68,80.14,2415,11001,P2,100,5526,5,8,0x0000000000000004
6.140489799989155,61,70.40,2730,11001,P2,26,5526,5,8,0x0000000000000000
6.643616699991981,60,51.13,2782,11001,P2,21,5526,5,8,0x0000000000000000
7.1444487999833655,60,38.56,2782,9001,P4,21,5526,5,8,0x0000000000000000
7.647069600003306,60,36.12,2775,9001,P4,20,5526,5,8,0x0000000000000000
8.149505999987014,60,40.55,2767,12001,P0,18,5526,5,8,0x0000000000000000
8.65330730000278,60,35.22,2775,11001,P2,24,5526,5,8,0x0000000000000000
9.153928999992786,60,39.88,2782,11001,P2,24,5526,5,8,0x0000000000000000
9.657386299979407,61,51.09,2767,11001,P2,27,5526,5,8,0x0000000000000000
10.157641700003296,61,38.36,2782,11001,P2,21,5526,5,8,0x0000000000000000
10.66064339998411,61,39.30,2782,11001,P2,23,5526,5,8,0x0000000000000000
11.161468599981163,61,38.39,2782,11001,P2,21,5526,5,8,0x0000000000000000
11.664102099981392,61,39.09,2775,11001,P2,20,5526,5,8,0x0000000000000000
12.16547399997944,61,39.07,2767,11001,P2,22,5526,5,8,0x0000000000000000
12.667546099983156,61,40.21,2760,11001,P2,21,5526,5,8,0x0000000000000000
13.168028599990066,61,38.53,2752,11001,P2,17,5526,5,8,0x0000000000000000
13.677285599987954,62,36.73,2782,11001,P2,16,5526,5,8,0x0000000000000000
14.187026100000367,62,37.18,2782,11001,P2,17,5526,5,8,0x0000000000000000
14.689362499979325,62,37.59,2790,11001,P2,22,5526,5,8,0x0000000000000000
15.191139000002295,63,35.71,2557,11001,P2,32,5670,5,8,0x0000000000000000
15.693116499984171,63,42.97,2775,9001,P4,33,5670,5,8,0x0000000000000000
16.195982299977913,63,42.22,2782,9001,P4,35,5670,5,8,0x0000000000000000
16.696831099980045,63,44.74,2775,9001,P4,28,5670,5,8,0x0000000000000000
17.19777840000461,63,40.48,2775,11001,P2,21,5670,5,8,0x0000000000000000
17.69902109997929,64,42.79,2782,11001,P2,34,5670,5,8,0x0000000000000000
18.201787400001194,63,40.58,2767,12001,P0,20,5670,5,8,0x0000000000000000
18.710450399987167,63,39.68,2775,11001,P2,23,5670,5,8,0x0000000000000000
19.214845899987267,64,41.84,2775,12001,P0,26,5670,5,8,0x0000000000000000
19.717197699996177,64,41.54,2775,11001,P2,26,5670,5,8,0x0000000000000000
20.226408799993806,64,42.95,2767,12001,P0,23,5670,5,8,0x0000000000000000
20.727996599976905,64,42.85,2767,11001,P2,25,5670,5,8,0x0000000000000000
21.228497599979164,66,64.91,2745,12001,P0,48,5670,5,8,0x0000000000000000
21.731227499985835,64,42.39,2767,9001,P4,20,5670,5,8,0x0000000000000000
22.23335870000301,64,37.03,2767,9001,P4,20,5670,5,8,0x0000000000000000
22.73359590000473,65,49.48,2775,9001,P4,23,5670,5,8,0x0000000000000000
23.235281300003408,65,38.15,2775,9001,P4,26,5670,5,8,0x0000000000000000
23.73743559999275,65,37.35,2767,11001,P2,19,5670,5,8,0x0000000000000000
24.23904649997712,65,37.32,2760,11001,P2,21,5670,5,8,0x0000000000000000
24.74200749999727,65,40.80,2775,11001,P2,25,5670,5,8,0x0000000000000000
25.244538900005864,65,35.96,2760,11001,P2,21,5670,5,8,0x0000000000000000
25.74650159999146,65,37.17,2782,11001,P2,17,5670,5,8,0x0000000000000000
26.247151099989424,65,38.52,2775,11001,P2,21,5670,5,8,0x0000000000000000
26.748832299985224,65,36.34,2767,11001,P2,18,5670,5,8,0x0000000000000000
27.25107949998346,65,38.16,2767,11001,P2,21,5670,5,8,0x0000000000000000
27.750802499998827,66,38.76,2767,11001,P2,21,5670,5,8,0x0000000000000000
28.25208289999864,65,37.33,2760,11001,P2,17,5670,5,8,0x0000000000000000
28.76175279999734,66,37.41,2752,11001,P2,20,5670,5,8,0x0000000000000000
29.263884999993024,66,38.69,2760,11001,P2,20,5670,5,8,0x0000000000000000
29.765257799997926,65,36.40,2767,11001,P2,17,5670,5,8,0x0000000000000000
30.27475329997833,65,35.52,2782,11001,P2,14,5670,5,8,0x0000000000000000
30.77744479998364,66,37.09,2782,11001,P2,19,5670,5,8,0x0000000000000000
31.27914850000525,66,37.26,2782,11001,P2,18,5670,5,8,0x0000000000000000
31.781710699986434,65,27.88,1815,9001,P4,11,5672,5,8,0x0000000000000000
32.282471899990924,66,45.03,2745,9001,P4,23,5672,5,8,0x0000000000000000
32.792617099999916,67,40.97,2767,9001,P4,30,5672,5,8,0x0000000000000000
33.292883999994956,66,40.62,2775,9001,P4,31,5672,5,8,0x0000000000000000
33.796956399979535,66,37.11,2752,11001,P2,26,5672,5,8,0x0000000000000000
34.298027399985585,66,39.54,2767,11001,P2,26,5672,5,8,0x0000000000000000
34.800858999980846,66,45.76,2760,11001,P2,21,5672,5,8,0x0000000000000000
35.30115129999467,66,38.87,2767,11001,P2,21,5672,5,8,0x0000000000000000
35.81108879999374,66,37.23,2752,11001,P2,19,5672,5,8,0x0000000000000000
36.31134909999673,66,37.62,2760,11001,P2,19,5672,5,8,0x0000000000000000
36.821400299988454,66,41.29,2767,11001,P2,25,5672,5,8,0x0000000000000000
37.326031599979615,66,39.40,2752,12001,P0,18,5672,5,8,0x0000000000000000
37.82658189997892,67,39.43,2760,11001,P2,20,5672,5,8,0x0000000000000000
38.33236689999467,66,43.10,2760,11001,P2,18,5672,5,8,0x0000000000000000
38.836665299983,66,40.79,2767,11001,P2,21,5672,5,8,0x0000000000000000
39.33943399999407,66,38.99,2767,11001,P2,21,5672,5,8,0x0000000000000000
39.84122629999183,66,40.24,2775,9001,P4,17,5672,5,8,0x0000000000000000
40.351085400005104,66,36.08,2767,9001,P4,26,5672,5,8,0x0000000000000000
40.8551085999934,66,34.87,2775,9001,P4,22,5672,5,8,0x0000000000000000
41.358489799982635,66,32.63,2775,9001,P4,21,5672,5,8,0x0000000000000000
41.86021240000264,66,38.24,2775,11001,P2,26,5672,5,8,0x0000000000000000
42.36090519998106,66,39.76,2775,11001,P2,21,5672,5,8,0x0000000000000000
42.863669499987736,66,39.25,2775,11001,P2,20,5672,5,8,0x0000000000000000
43.36450850000256,67,39.58,2767,11001,P2,22,5672,5,8,0x0000000000000000
43.8651375999907,66,41.55,2775,11001,P2,21,5672,5,8,0x0000000000000000
44.3680104999803,66,39.83,2775,11001,P2,20,5672,5,8,0x0000000000000000
44.87194670000463,66,38.27,2775,11001,P2,20,5672,5,8,0x0000000000000000
45.37580069998512,66,40.14,2767,11001,P2,22,5672,5,8,0x0000000000000000
45.875765200005844,66,39.64,2767,11001,P2,20,5672,5,8,0x0000000000000000
46.37853950000135,66,38.24,2775,11001,P2,21,5672,5,8,0x0000000000000000
46.878816299984464,66,41.69,2775,11001,P2,26,5672,5,8,0x0000000000000000
47.381020600005286,66,41.09,2775,11001,P2,22,5672,5,8,0x0000000000000000
47.881307699979516,66,38.22,2782,11001,P2,18,5672,5,8,0x0000000000000000
48.3826332000026,66,36.49,2782,11001,P2,16,5672,5,8,0x0000000000000000
48.89278699998977,66,40.87,2760,9001,P4,19,5672,5,8,0x0000000000000000
49.395330700004706,66,42.83,2782,9001,P4,27,5672,5,8,0x0000000000000000
49.89729850000003,66,41.24,2767,9001,P4,26,5672,5,8,0x0000000000000000
50.401354500005255,66,40.42,2767,9001,P4,27,5672,5,8,0x0000000000000000
50.90213249999215,65,37.59,2760,11001,P2,17,5672,5,8,0x0000000000000000
51.40302899997914,66,42.36,2775,12001,P0,24,5672,5,8,0x0000000000000000
51.905238699982874,66,40.14,2767,11001,P2,22,5672,5,8,0x0000000000000000
52.40627389997826,65,39.03,2767,12001,P0,17,5672,5,8,0x0000000000000000
52.90729219999048,66,39.32,2775,11001,P2,21,5672,5,8,0x0000000000000000
53.41000400000485,66,39.92,2767,11001,P2,23,5672,5,8,0x0000000000000000
53.911871899996186,66,38.37,2760,11001,P2,19,5672,5,8,0x0000000000000000
54.41460759998881,66,41.53,2767,11001,P2,25,5672,5,8,0x0000000000000000
54.91664849998779,66,39.84,2767,11001,P2,22,5672,5,8,0x0000000000000000
55.426775799976895,66,38.51,2715,9001,P4,23,5672,5,8,0x0000000000000000
55.930901299987454,66,40.42,2775,9001,P4,26,5672,5,8,0x0000000000000000
56.440853099978995,66,39.20,2767,9001,P4,23,5672,5,8,0x0000000000000000
56.95055089998641,66,36.68,2760,11001,P2,23,5672,5,8,0x0000000000000000
57.45073889999185,66,43.29,2760,11001,P2,23,5672,5,8,0x0000000000000000
57.953004599985434,65,37.63,2752,11001,P2,18,5672,5,8,0x0000000000000000
58.4631407999841,65,37.85,2760,11001,P2,19,5672,5,8,0x0000000000000000
58.96474589998252,65,37.71,2752,11001,P2,19,5672,5,8,0x0000000000000000
59.47083909998764,65,38.96,2752,11001,P2,19,5672,5,8,0x0000000000000000
59.97308480000356,65,37.36,2760,11001,P2,22,5672,5,8,0x0000000000000000
60.47374759998638,65,39.01,2767,11001,P2,23,5672,5,8,0x0000000000000000
60.976759399985895,66,39.12,2760,11001,P2,24,5672,5,8,0x0000000000000000
61.480014899978414,65,37.78,2745,11001,P2,20,5672,5,8,0x0000000000000000
61.98128439998254,65,36.19,2760,11001,P2,16,5672,5,8,0x0000000000000000
62.483502899995074,65,36.12,2760,11001,P2,15,5672,5,8,0x0000000000000000
62.985357400000794,65,37.32,2752,11001,P2,17,5672,5,8,0x0000000000000000
63.4877342999971,65,36.34,2715,11001,P2,17,5672,5,8,0x0000000000000000
63.98993660000269,65,38.13,2775,11001,P2,23,5672,5,8,0x0000000000000000
64.49159079999663,65,36.89,2782,11001,P2,15,5672,5,8,0x0000000000000000
64.99433039998985,65,38.09,2782,11001,P2,17,5672,5,8,0x0000000000000000
65.49462640000274,65,38.04,2782,11001,P2,22,5674,5,8,0x0000000000000000
65.99667839999893,67,56.85,2512,12001,P0,56,5674,5,8,0x0000000000000000
66.5052211000002,65,40.65,2760,9001,P4,25,5674,5,8,0x0000000000000000
67.00609129999066,65,39.26,2767,9001,P4,23,5674,5,8,0x0000000000000000
