t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.05436289997305721,57,14.00,1515,11001,P2,10,6160,5,8,0x0000000000000000
0.5563231999985874,62,43.04,1515,11001,P2,100,6160,5,8,0x0000000000000004
1.0654928999720141,64,49.95,1695,11001,P2,100,6160,5,8,0x0000000000000004
1.5656469999812543,66,58.21,1920,11001,P2,100,6160,5,8,0x0000000000000004
2.06845759996213,70,73.76,2182,11001,P2,100,6160,5,8,0x0000000000000004
2.573052799969446,68,79.69,2197,11001,P2,100,6160,5,8,0x0000000000000004
3.0797291999915615,70,80.10,2385,11001,P2,100,6160,5,8,0x0000000000000004
3.583188299962785,69,80.32,2227,11001,P2,100,6160,5,8,0x0000000000000004
4.086932700010948,70,79.95,2377,11001,P2,100,6160,5,8,0x0000000000000004
4.588377600011881,69,80.23,2242,11001,P2,100,6160,5,8,0x0000000000000004
5.0902649000054225,71,79.95,2362,11001,P2,100,6160,5,8,0x0000000000000004
5.598661499971058,70,79.91,2242,11001,P2,100,6160,5,8,0x0000000000000004
6.1092734999838285,71,80.29,2355,11001,P2,100,6160,5,8,0x0000000000000004
6.6122478999895975,61,58.98,1950,11001,P2,29,6160,5,8,0x0000000000000000
7.11532049998641,60,33.31,1515,9001,P4,30,6160,5,8,0x0000000000000000
7.616430199996103,60,21.57,1515,9001,P4,38,6160,5,8,0x0000000000000000
8.117029799963348,60,21.49,1515,11001,P2,27,6160,5,8,0x0000000000000000
8.618064799986314,60,21.27,1515,11001,P2,24,6160,5,8,0x0000000000000000
9.127381899976172,60,20.99,1515,11001,P2,23,6160,5,8,0x0000000000000000
9.62888719997136,60,21.25,1515,11001,P2,28,6160,5,8,0x0000000000000000
10.12937390001025,60,21.06,1515,11001,P2,28,6160,5,8,0x0000000000000000
10.629513099964242,60,21.18,1515,11001,P2,23,6160,5,8,0x0000000000000000
11.139332099992316,60,21.50,1515,11001,P2,27,6160,5,8,0x0000000000000000
11.647351199993864,60,21.27,1515,11001,P2,21,6160,5,8,0x0000000000000000
12.149967400007881,60,21.68,1515,11001,P2,34,6160,5,8,0x0000000000000000
12.66154619998997,60,21.01,1515,11001,P2,23,6160,5,8,0x0000000000000000
13.164485499961302,60,20.80,1515,11001,P2,19,6160,5,8,0x0000000000000000
13.679462099971715,59,9.50,180,9001,P4,0,6160,5,8,0x0000000000000000
14.189986599958502,59,9.59,180,9001,P4,0,6160,5,8,0x0000000000000000
14.697493799962103,58,9.86,187,9001,P4,0,6160,5,8,0x0000000000000000
15.200913799984846,60,14.85,967,11001,P2,50,6160,5,8,0x0000000000000000
15.706346899969503,60,24.63,1515,11001,P2,44,6160,5,8,0x0000000000000000
16.208263999957126,60,28.78,1515,11001,P2,44,6160,5,8,0x0000000000000000
16.714146699989215,60,28.74,1515,11001,P2,45,6160,5,8,0x0000000000000000
17.218173999979626,60,29.32,1515,11001,P2,53,6160,5,8,0x0000000000000000
17.719204099965282,60,30.16,1515,11001,P2,51,6160,5,8,0x0000000000000000
18.22122439998202,60,30.60,1515,11001,P2,50,6160,5,8,0x0000000000000000
18.72845180000877,58,26.36,967,11001,P2,0,6160,5,8,0x0000000000000000
19.24464089999674,57,16.17,322,9001,P4,0,6160,5,8,0x0000000000000000
19.754559199966025,57,10.42,315,9001,P4,0,6160,5,8,0x0000000000000000
20.259611299959943,57,10.14,330,9001,P4,1,6160,5,8,0x0000000000000000
20.76401599997189,58,14.93,1485,9001,P4,24,6160,5,8,0x0000000000000000
21.26476009999169,58,19.75,1515,9001,P4,30,6160,5,8,0x0000000000000000
21.765058599994518,58,20.67,1515,9001,P4,25,6160,5,8,0x0000000000000000
22.26702699996531,58,21.88,1515,11001,P2,33,6160,5,8,0x0000000000000000
22.76732909999555,58,20.55,1515,11001,P2,25,6160,5,8,0x0000000000000000
23.27705639996566,58,21.08,1515,11001,P2,25,6160,5,8,0x0000000000000000
23.778679899987765,58,22.83,1515,11001,P2,33,6160,5,8,0x0000000000000000
24.280348800006323,58,21.59,1515,11001,P2,25,6160,5,8,0x0000000000000000
24.78286959999241,58,19.96,1515,11001,P2,23,6160,5,8,0x0000000000000000
25.28423859999748,58,20.78,1515,11001,P2,22,6160,5,8,0x0000000000000000
25.7871962999925,58,21.36,1515,11001,P2,26,6160,5,8,0x0000000000000000
