t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.05325339996488765,54,13.01,930,9001,P4,11,5635,5,8,0x0000000000000000
0.5578763000085019,58,19.22,930,9001,P2,100,5635,5,8,0x0000000000000004
1.0680807000026107,59,34.96,1627,11001,P2,100,5635,5,8,0x0000000000000004
1.56981050001923,62,51.45,1845,11001,P2,100,5627,5,8,0x0000000000000004
2.077224800013937,66,65.29,2100,11001,P2,100,5627,5,8,0x0000000000000004
2.5807915999903344,65,78.46,2325,11001,P2,100,5627,5,8,0x0000000000000004
3.087638499971945,67,80.67,2295,11001,P2,100,5627,5,8,0x0000000000000004
3.593982199963648,66,79.95,2347,11001,P2,100,5627,5,8,0x0000000000000004
4.1056727999821305,68,80.77,2302,11001,P2,100,5627,5,8,0x0000000000000004
4.608732599997893,66,79.39,2332,11001,P2,100,5627,5,8,0x0000000000000004
5.111516000004485,67,80.26,2317,11001,P2,100,5627,5,8,0x0000000000000004
5.619971100008115,67,79.57,2317,11001,P2,100,5627,5,8,0x0000000000000004
6.125500799971633,68,80.56,2310,11001,P2,100,5627,5,8,0x0000000000000004
6.632646000012755,61,73.51,2340,11001,P2,63,5627,5,8,0x0000000000000000
7.140656900010072,59,52.03,1515,11001,P2,68,5627,5,8,0x0000000000000000
7.649450499971863,58,35.47,1515,11001,P2,53,5627,5,8,0x0000000000000000
8.152628800016828,59,34.92,1515,11001,P2,71,5627,5,8,0x0000000000000000
8.656356299994513,59,35.56,1515,11001,P2,70,5627,5,8,0x0000000000000000
9.160212999966461,57,33.89,1515,11001,P2,25,5627,5,8,0x0000000000000000
9.675339300010819,56,23.38,360,11001,P2,0,5627,5,8,0x0000000000000000
10.187227799964603,56,12.06,352,11001,P2,1,5627,5,8,0x0000000000000000
10.689073799992912,55,12.00,337,11001,P2,0,5627,5,8,0x0000000000000000
11.193509200005792,55,13.06,547,9001,P4,0,5627,5,8,0x0000000000000000
11.695412300003227,56,14.65,922,9001,P4,17,5627,5,8,0x0000000000000000
12.200148599979002,56,15.61,937,9001,P4,13,5627,5,8,0x0000000000000000
12.706925300008152,56,15.41,1020,9001,P4,17,5627,5,8,0x0000000000000000
13.221265200001653,56,15.06,997,9001,P4,17,5627,5,8,0x0000000000000000
13.730142100015655,56,14.90,975,9001,P4,14,5627,5,8,0x0000000000000000
14.232163699984085,55,14.82,967,9001,P4,16,5627,5,8,0x0000000000000000
14.736746900016442,55,14.89,975,9001,P4,18,5627,5,8,0x0000000000000000
15.246692899963818,55,14.82,975,9001,P4,17,5627,5,8,0x0000000000000000
15.75196079997113,55,14.66,982,9001,P4,15,5627,5,8,0x0000000000000000
16.26013359997887,55,14.65,997,9001,P4,13,5627,5,8,0x0000000000000000
16.765584099979606,55,14.67,990,9001,P4,18,5627,5,8,0x0000000000000000
17.272885599988513,55,14.66,952,9001,P4,17,5627,5,8,0x0000000000000000
17.782848400005605,55,14.51,967,9001,P4,14,5627,5,8,0x0000000000000000
18.290418199962005,55,14.57,937,9001,P4,17,5627,5,8,0x0000000000000000
18.80408869998064,55,14.57,967,9001,P4,16,5627,5,8,0x0000000000000000
19.306999999971595,55,14.58,960,9001,P4,13,5627,5,8,0x0000000000000000
19.817758499993943,55,14.59,1012,9001,P4,16,5627,5,8,0x0000000000000000
20.323706399998628,55,14.69,975,9001,P4,18,5627,5,8,0x0000000000000000
20.827780699997675,55,14.63,997,9001,P4,14,5627,5,8,0x0000000000000000
21.329837099998258,55,14.64,975,9001,P4,18,5627,5,8,0x0000000000000000
21.835508899996057,55,14.61,937,9001,P4,17,5627,5,8,0x0000000000000000
22.336105299997143,55,14.67,967,9001,P4,17,5627,5,8,0x0000000000000000
22.837784699979238,55,14.59,990,9001,P4,13,5627,5,8,0x0000000000000000
23.338501399965025,55,14.58,945,9001,P4,14,5627,5,8,0x0000000000000000
23.839496199972928,55,14.58,975,9001,P4,17,5627,5,8,0x0000000000000000
24.350160799978767,55,14.61,930,9001,P4,17,5627,5,8,0x0000000000000000
24.85109349997947,55,14.52,960,9001,P4,14,5627,5,8,0x0000000000000000
25.36346700001741,55,14.60,982,9001,P4,16,5627,5,8,0x0000000000000000
25.87072549998993,55,14.69,975,9001,P4,17,5627,5,8,0x0000000000000000
26.378831000009086,55,14.67,960,9001,P4,17,5627,5,8,0x0000000000000000
26.885998599987943,55,14.51,945,9001,P4,14,5627,5,8,0x0000000000000000
27.39305559999775,55,14.50,967,9001,P4,17,5627,5,8,0x0000000000000000
27.895254599978216,55,14.54,960,9001,P4,17,5627,5,8,0x0000000000000000
28.397890399966855,55,14.72,997,9001,P4,17,5627,5,8,0x0000000000000000
28.898772499989718,55,14.07,885,9001,P4,0,5627,5,8,0x0000000000000000
29.413360900012776,54,11.42,217,9001,P4,1,5627,5,8,0x0000000000000000
29.914668800018262,54,9.36,240,9001,P4,0,5627,5,8,0x0000000000000000
