t_s,temperature.gpu,power.draw,clocks.current.graphics,clocks.current.memory,pstate,utilization.gpu,memory.used,pcie.link.gen.current,pcie.link.width.current,clocks_event_reasons.active
0.06352419999893755,59,23.77,1800,9001,P4,10,6187,5,8,0x0000000000000000
0.5679038999951445,71,96.35,1800,9001,P4,100,6187,5,8,0x0000000000000004
1.0815575000015087,67,79.20,2535,9001,P4,100,6187,5,8,0x0000000000000004
1.5834694000077434,72,78.51,2227,9001,P4,100,6187,5,8,0x0000000000000004
2.0838452000170946,67,78.02,2460,9001,P4,100,6187,5,8,0x0000000000000004
2.597787100006826,72,81.66,2280,9001,P4,100,6187,5,8,0x0000000000000004
3.098704700008966,68,79.82,2407,9001,P4,100,6187,5,8,0x0000000000000004
3.6019527000025846,72,80.37,2310,9001,P4,100,6187,5,8,0x0000000000000004
4.103349800046999,69,78.71,2385,9001,P4,100,6187,5,8,0x0000000000000004
4.604224400012754,71,80.27,2310,11001,P2,100,6187,5,8,0x0000000000000004
5.119658800016623,69,79.98,2325,11001,P2,100,6187,5,8,0x0000000000000004
5.621309200010728,72,81.00,2310,11001,P2,100,6187,5,8,0x0000000000000004
6.125247200019658,67,76.63,2317,11001,P2,50,6187,5,8,0x0000000000000000
6.640667700034101,66,64.26,2760,11001,P2,48,6187,5,8,0x0000000000000000
7.153802500048187,65,54.71,2760,11001,P2,39,6187,5,8,0x0000000000000000
7.656044400006067,65,51.76,2182,11001,P2,48,6189,5,8,0x0000000000000000
8.167796900030226,65,52.28,2767,11001,P2,49,6189,5,8,0x0000000000000000
8.682006400020327,65,55.46,2767,11001,P2,50,6189,5,8,0x0000000000000000
9.193419100018218,60,41.76,1042,9001,P4,3,6189,5,8,0x0000000000000000
9.70812130003469,59,18.91,307,9001,P4,2,6189,5,8,0x0000000000000000
10.210580300015863,59,12.39,307,9001,P4,2,6189,5,8,0x0000000000000000
10.722108200017828,59,13.88,427,9001,P2,22,6189,5,8,0x0000000000000000
11.225290600035805,60,17.29,982,9001,P4,15,6189,5,8,0x0000000000000000
11.726930600008927,60,22.83,1845,9001,P4,13,6189,5,8,0x0000000000000000
12.23028560000239,60,25.44,1800,9001,P4,12,6189,5,8,0x0000000000000000
12.73485560005065,60,26.32,1777,11001,P2,13,6189,5,8,0x0000000000000000
13.237814599997364,60,25.67,1747,11001,P2,13,6189,5,8,0x0000000000000000
13.742953300010413,60,24.29,1665,11001,P2,11,6189,5,8,0x0000000000000000
14.247905800002627,60,25.52,1657,11001,P2,11,6189,5,8,0x0000000000000000
14.763561800005846,60,26.21,1740,11001,P2,13,6189,5,8,0x0000000000000000
15.279385200003162,60,24.86,1845,11001,P2,11,6189,5,8,0x0000000000000000
15.781585400050972,60,33.12,1845,11001,P2,14,6189,5,8,0x0000000000000000
16.286677600000985,60,25.60,1807,11001,P2,13,6189,5,8,0x0000000000000000
16.79328770004213,60,26.42,1725,11001,P2,15,6189,5,8,0x0000000000000000
17.30130370002007,60,26.14,1852,11001,P2,14,6189,5,8,0x0000000000000000
17.804722500033677,60,26.06,1740,11001,P2,14,6189,5,8,0x0000000000000000
18.30762080004206,60,25.86,1650,11001,P2,12,6189,5,8,0x0000000000000000
18.82232020003721,59,25.93,1687,11001,P2,9,6189,5,8,0x0000000000000000
19.325259100005496,60,25.71,1815,11001,P2,12,6189,5,8,0x0000000000000000
19.828472800028976,60,25.62,1725,11001,P2,14,6189,5,8,0x0000000000000000
20.334138500038534,60,26.08,1770,11001,P2,14,6189,5,8,0x0000000000000000
20.83488150004996,60,25.89,1695,11001,P2,13,6189,5,8,0x0000000000000000
21.34832320001442,60,25.88,1740,11001,P2,14,6189,5,8,0x0000000000000000
21.861747300019488,59,26.02,1725,11001,P2,12,6189,5,8,0x0000000000000000
22.363564100000076,60,29.61,1740,11001,P2,13,6189,5,8,0x0000000000000000
22.866821800009347,60,25.34,1695,11001,P2,11,6189,5,8,0x0000000000000000
23.380775600031484,60,28.62,1672,11001,P2,15,6189,5,8,0x0000000000000000
23.896002100023907,59,25.11,1665,11001,P2,12,6189,5,8,0x0000000000000000
24.410930900019594,60,24.63,1687,11001,P2,12,6189,5,8,0x0000000000000000
24.914760300016496,60,27.18,1770,11001,P2,14,6189,5,8,0x0000000000000000
25.430365000036545,60,26.09,1665,11001,P2,13,6189,5,8,0x0000000000000000
25.943747100012843,60,25.89,1755,11001,P2,11,6189,5,8,0x0000000000000000
26.459585200005677,60,26.48,1755,11001,P2,14,6189,5,8,0x0000000000000000
26.972085700021125,60,26.28,1725,11001,P2,14,6189,5,8,0x0000000000000000
27.484366599994246,60,25.84,1717,11001,P2,14,6189,5,8,0x0000000000000000
27.98556900001131,60,25.94,1785,11001,P2,11,6189,5,8,0x0000000000000000
28.498954300011974,60,25.97,1732,11001,P2,15,6186,5,8,0x0000000000000000
29.014488900022116,60,26.21,1740,11001,P2,14,6186,5,8,0x0000000000000000
29.52999940002337,59,25.95,1702,11001,P2,12,6186,5,8,0x0000000000000000
30.031142399995588,58,23.51,1605,9001,P4,3,6186,5,8,0x0000000000000000
30.54614130000118,58,17.34,322,9001,P4,2,6186,5,8,0x0000000000000000
31.061105100030545,57,12.34,330,9001,P4,3,6186,5,8,0x0000000000000000
31.57568629999878,58,13.72,367,11001,P2,71,6186,5,8,0x0000000000000000
32.07646280003246,59,16.96,735,9001,P4,16,6186,5,8,0x0000000000000000
32.58038280002074,59,22.15,1762,9001,P4,15,6186,5,8,0x0000000000000000
33.082039000000805,59,25.07,1800,9001,P4,16,6186,5,8,0x0000000000000000
33.587479300040286,59,25.19,1770,11001,P2,13,6186,5,8,0x0000000000000000
34.08944980002707,59,24.96,1710,11001,P2,11,6186,5,8,0x0000000000000000
34.59428449999541,59,25.42,1762,11001,P2,12,6186,5,8,0x0000000000000000
35.10169930005213,59,25.46,1695,11001,P2,13,6186,5,8,0x0000000000000000
35.60751030000392,59,25.49,1785,11001,P2,12,6186,5,8,0x0000000000000000
36.112518800015096,59,25.25,1657,11001,P2,12,6186,5,8,0x0000000000000000
36.61675850005122,59,25.42,1762,11001,P2,12,6186,5,8,0x0000000000000000
37.13160480000079,59,24.39,1732,11001,P2,13,6186,5,8,0x0000000000000000
37.64489019999746,59,23.66,1732,11001,P2,9,6186,5,8,0x0000000000000000
38.16014780005207,59,25.45,1725,11001,P2,12,6186,5,8,0x0000000000000000
38.66428100003395,59,23.52,1702,11001,P2,9,6186,5,8,0x0000000000000000
39.176802700036205,59,25.50,1725,11001,P2,13,6186,5,8,0x0000000000000000
39.67770160001237,59,25.31,1740,11001,P2,12,6186,5,8,0x0000000000000000
40.18158330000006,59,24.84,1762,11001,P2,10,6186,5,8,0x0000000000000000
40.686095000011846,59,25.63,1747,11001,P2,13,6186,5,8,0x0000000000000000
41.20239049999509,59,24.70,1702,11001,P2,9,6186,5,8,0x0000000000000000
41.703813200001605,59,25.32,1770,11001,P2,12,6186,5,8,0x0000000000000000
42.20720810000785,59,24.54,1755,11001,P2,12,6186,5,8,0x0000000000000000
42.71014820004348,59,23.01,1785,11001,P2,11,6186,5,8,0x0000000000000000
43.21190380002372,59,24.75,1822,11001,P2,12,6186,5,8,0x0000000000000000
43.71319900004892,59,27.45,1725,11001,P2,13,6186,5,8,0x0000000000000000
44.2284142000135,59,24.96,1725,11001,P2,10,6186,5,8,0x0000000000000000
44.730502200021874,59,25.24,1725,11001,P2,12,6186,5,8,0x0000000000000000
45.23391559999436,59,25.37,1732,11001,P2,11,6186,5,8,0x0000000000000000
45.738476200029254,59,25.55,1822,11001,P2,13,6186,5,8,0x0000000000000000
46.2391211000504,59,25.43,1732,11001,P2,13,6186,5,8,0x0000000000000000
46.74432190001244,59,25.62,1785,11001,P2,12,6186,5,8,0x0000000000000000
47.259261600032914,59,25.20,1687,11001,P2,12,6186,5,8,0x0000000000000000
47.7605087000411,59,24.48,1702,11001,P2,10,6186,5,8,0x0000000000000000
48.261716500041075,59,25.49,1710,11001,P2,11,6186,5,8,0x0000000000000000
48.76640150003368,59,25.21,1657,11001,P2,10,6186,5,8,0x0000000000000000
49.269696500035934,59,25.67,1635,11001,P2,13,6186,5,8,0x0000000000000000
49.78544540004805,59,25.38,1702,11001,P2,13,6186,5,8,0x0000000000000000
50.30040890001692,59,26.59,1770,11001,P2,12,6186,5,8,0x0000000000000000
50.817102600005455,59,25.16,1762,11001,P2,10,6186,5,8,0x0000000000000000
51.31884290004382,58,19.95,892,9001,P4,2,6186,5,8,0x0000000000000000
51.8343470999971,57,12.49,322,9001,P4,2,6186,5,8,0x0000000000000000
52.337953600042965,57,12.33,322,9001,P4,2,6186,5,8,0x0000000000000000
52.85345330002019,62,23.23,1252,11001,P2,56,6186,5,8,0x0000000000000000
53.35766080004396,63,43.58,2767,11001,P2,56,6186,5,8,0x0000000000000000
53.87323369999649,63,57.52,2760,11001,P2,55,6186,5,8,0x0000000000000000
54.37523310002871,64,57.74,2760,11001,P2,58,6186,5,8,0x0000000000000000
54.88040290004574,64,57.97,2760,11001,P2,57,6186,5,8,0x0000000000000000
55.38199840002926,60,53.51,2760,11001,P2,2,6186,5,8,0x0000000000000000
55.89370080002118,58,30.81,315,9001,P4,2,6186,5,8,0x0000000000000000
56.405388800019864,57,12.78,352,9001,P4,2,6186,5,8,0x0000000000000000
56.906521400029305,57,12.33,345,9001,P4,2,6186,5,8,0x0000000000000000
57.42029140004888,60,23.56,2235,9001,P4,23,6186,5,8,0x0000000000000000
57.92299550003372,61,41.02,2775,9001,P4,35,6186,5,8,0x0000000000000000
58.423608000040986,61,39.16,2782,9001,P4,26,6186,5,8,0x0000000000000000
58.92626920004841,61,38.29,2790,11001,P2,26,6186,5,8,0x0000000000000000
59.42751400003908,62,41.50,2775,12001,P0,25,6186,5,8,0x0000000000000000
59.93037890002597,61,40.77,2775,12001,P0,24,6186,5,8,0x0000000000000000
60.43769320001593,62,40.64,2775,11001,P2,22,6186,5,8,0x0000000000000000
60.953007100033574,62,40.31,2775,12001,P0,20,6186,5,8,0x0000000000000000
61.45623790001264,62,41.26,2775,12001,P0,20,6186,5,8,0x0000000000000000
61.95897310000146,62,42.24,2775,11001,P2,31,6186,5,8,0x0000000000000000
62.47403530002339,62,41.48,2782,12001,P0,26,6186,5,8,0x0000000000000000
62.977611500013154,63,43.18,2775,11001,P2,28,6186,5,8,0x0000000000000000
63.478635200008284,63,47.57,2782,12001,P0,26,6186,5,8,0x0000000000000000
63.981732800020836,61,32.17,2775,11001,P2,17,6186,5,8,0x0000000000000000
64.49273390002782,59,12.59,352,9001,P4,2,6186,5,8,0x0000000000000000
65.0082464000443,58,12.33,322,9001,P4,3,6186,5,8,0x0000000000000000
65.50907780003035,62,22.44,2107,9001,P4,32,6186,5,8,0x0000000000000000
66.01254690001952,62,34.71,2782,9001,P4,31,6186,5,8,0x0000000000000000
66.52834459999576,62,42.28,2782,9001,P4,26,6186,5,8,0x0000000000000000
67.0433739,63,39.95,2790,9001,P4,29,6186,5,8,0x0000000000000000
67.54400690004695,62,41.02,2782,12001,P0,26,6186,5,8,0x0000000000000000
68.0484385000309,63,38.07,2775,11001,P2,22,6186,5,8,0x0000000000000000
68.55397940002149,63,40.33,2782,11001,P0,27,6186,5,8,0x0000000000000000
69.05591910000658,63,42.26,2767,12001,P0,25,6186,5,8,0x0000000000000000
69.55903520004358,63,39.60,2767,11001,P2,28,6186,5,8,0x0000000000000000
70.06449910002993,63,40.18,2782,12001,P0,23,6186,5,8,0x0000000000000000
70.5685449000448,63,42.16,2775,12001,P0,26,6186,5,8,0x0000000000000000
71.08425030001672,63,37.85,2775,12001,P0,21,6186,5,8,0x0000000000000000
71.58651250001276,64,41.02,2775,11001,P2,26,6186,5,8,0x0000000000000000
72.10188700002618,61,15.42,2775,12001,P0,3,6186,5,8,0x0000000000000000
72.61979620001512,60,12.62,315,9001,P4,2,6186,5,8,0x0000000000000000
73.13314800005173,59,12.85,345,9001,P4,2,6186,5,8,0x0000000000000000
73.64672449999489,59,12.57,315,9001,P4,4,6186,5,8,0x0000000000000000
74.16121270001167,65,31.36,2595,11001,P2,57,6186,5,8,0x0000000000000000
74.66365880001104,65,52.10,2782,11001,P2,57,6186,5,8,0x0000000000000000
75.17532880004728,65,58.39,2782,11001,P2,58,6186,5,8,0x0000000000000000
75.67600950004999,64,57.79,2775,11001,P2,43,6186,5,8,0x0000000000000000
76.17890190001344,65,56.58,2782,11001,P2,58,6186,5,8,0x0000000000000000
76.68077770003583,65,56.53,2775,11001,P2,55,6186,5,8,0x0000000000000000
77.18210289999843,66,58.63,2775,11001,P2,58,6186,5,8,0x0000000000000000
77.68396420002682,64,56.35,2775,11001,P2,34,6186,5,8,0x0000000000000000
78.19937510002637,60,38.92,570,11001,P2,2,6186,5,8,0x0000000000000000
78.71137430000817,59,19.00,330,9001,P4,2,6186,5,8,0x0000000000000000
79.21370100002969,59,12.77,315,9001,P4,2,6186,5,8,0x0000000000000000
79.71477500000037,65,27.19,1575,11001,P2,68,6186,5,8,0x0000000000000000
